,Accelerometer_vehicle_z
122,0.2949587645414354
123,0.6625673369095841
124,0.6625673369095841
125,0.6625673369095841
126,0.6002296785369454
127,0.6002296785369454
128,0.6002296785369454
129,0.008063801350562253
130,0.008063801350562253
131,0.008063801350562253
132,1.0420215048975696
133,1.0420215048975696
134,0.09295957486004906
135,0.09295957486004906
136,0.09295957486004906
137,0.09295957486004906
138,0.22498897282031183
139,0.22498897282031183
140,0.22498897282031183
141,0.17940695479130475
142,0.17940695479130475
143,0.17940695479130475
144,0.17940695479130475
145,0.23763522838021656
146,0.23763522838021656
147,0.23763522838021656
148,0.2947371421101311
149,0.2947371421101311
150,0.6498029242250924
151,0.6498029242250924
152,0.6498029242250924
153,0.6498029242250924
154,0.08134053401209444
155,0.08134053401209444
156,0.08134053401209444
157,0.01769787265542827
158,0.01769787265542827
159,0.01769787265542827
160,0.28705481049716924
161,0.28705481049716924
162,0.28705481049716924
163,0.023665199112587843
164,0.023665199112587843
165,0.023665199112587843
166,0.6895650345695757
167,0.6895650345695757
168,0.6895650345695757
169,0.6895650345695757
170,0.3261444188890944
171,0.3261444188890944
172,0.06803413278414551
173,0.06803413278414551
174,0.06803413278414551
175,0.06803413278414551
176,0.48807303869994595
177,0.48807303869994595
178,0.48807303869994595
179,0.11015551501454332
180,0.11015551501454332
181,0.01941166252124149
182,0.01941166252124149
183,0.01941166252124149
184,0.2696058095794975
185,0.2696058095794975
186,0.2696058095794975
187,0.2696058095794975
188,0.17063574605051157
189,0.17063574605051157
190,0.17063574605051157
191,0.2119498307723339
192,0.2119498307723339
193,0.5307936222634443
194,0.5307936222634443
195,0.5307936222634443
196,0.5307936222634443
197,0.5307936222634443
198,0.2674681773717834
199,0.2674681773717834
200,0.07124911347547126
201,0.07124911347547126
202,0.07124911347547126
203,0.42905908525644393
204,0.42905908525644393
205,0.42905908525644393
206,0.1250218660113636
207,0.1250218660113636
208,0.1250218660113636
209,0.1250218660113636
210,0.5471427819569036
211,0.5471427819569036
212,0.3126321219891183
213,0.3126321219891183
214,0.3126321219891183
215,0.3126321219891183
216,0.32551970778033984
217,0.32551970778033984
218,0.32551970778033984
219,0.9816364628625384
220,0.9816364628625384
221,0.9816364628625384
222,0.9103463836407397
223,0.9103463836407397
224,0.9103463836407397
225,0.07444338405838484
226,0.07444338405838484
227,0.07444338405838484
228,0.07444338405838484
229,0.9431037962176079
230,0.9431037962176079
231,0.9431037962176079
232,0.13497680558579594
233,0.13497680558579594
234,0.13497680558579594
235,0.3368944545666888
236,0.3368944545666888
237,0.3368944545666888
238,0.23890910938445734
239,0.23890910938445734
240,0.23890910938445734
241,0.8406789346094553
242,0.8406789346094553
243,0.8406789346094553
244,0.12248499749568502
245,0.12248499749568502
246,0.12248499749568502
247,0.6723564476942002
248,0.6723564476942002
249,0.6723564476942002
250,0.024864670281481798
251,0.024864670281481798
252,0.024864670281481798
253,0.5504357219387997
254,0.5504357219387997
255,0.5504357219387997
256,0.16584146953491574
257,0.16584146953491574
258,0.16584146953491574
259,0.16584146953491574
260,0.5568352667633026
261,0.5568352667633026
262,0.5568352667633026
263,0.28382867648850174
264,0.28382867648850174
265,0.28382867648850174
266,0.21392169259440402
267,0.21392169259440402
268,0.21392169259440402
269,0.7255583652537447
270,0.7255583652537447
271,0.09614313505925631
272,0.09614313505925631
273,0.09614313505925631
274,0.4305498875039428
275,0.4305498875039428
276,0.4305498875039428
277,0.255393414035659
278,0.255393414035659
279,0.255393414035659
280,0.255393414035659
281,0.498976377008991
282,0.498976377008991
283,0.044458743582894096
284,0.044458743582894096
285,0.044458743582894096
286,0.044458743582894096
287,0.09765274724157452
288,0.09765274724157452
289,0.09765274724157452
290,0.09765274724157452
291,0.6467699992824394
292,0.6467699992824394
293,0.022774579354677825
294,0.022774579354677825
295,0.022774579354677825
296,0.04047473514882485
297,0.04047473514882485
298,0.04047473514882485
299,0.04047473514882485
300,0.4123965366331149
301,0.4123965366331149
302,0.7557186184320285
303,0.7557186184320285
304,0.7557186184320285
305,0.7557186184320285
306,0.8522612556237682
307,0.8522612556237682
308,0.8522612556237682
309,0.1479944384673878
310,0.1479944384673878
311,0.35119187657406536
312,0.35119187657406536
313,0.35119187657406536
314,0.35119187657406536
315,0.07901659238669118
316,0.07901659238669118
317,0.8761113962465835
318,0.8761113962465835
319,0.8761113962465835
320,0.8761113962465835
321,0.8761113962465835
322,0.0772363794167395
323,0.0772363794167395
324,0.0772363794167395
325,0.07655118335498895
326,0.07655118335498895
327,0.07655118335498895
328,0.6596587161113288
329,0.6596587161113288
330,0.6596587161113288
331,0.23952192725103436
332,0.23952192725103436
333,0.20667192390875358
334,0.20667192390875358
335,0.20667192390875358
336,0.40304358094631987
337,0.40304358094631987
338,0.40304358094631987
339,0.40304358094631987
340,0.7168158051763223
341,0.7168158051763223
342,0.7168158051763223
343,0.08013099069317134
344,0.08013099069317134
345,0.08013099069317134
346,0.6889069380396454
347,0.6889069380396454
348,0.03148503760701609
349,0.03148503760701609
350,0.03148503760701609
351,0.03148503760701609
352,0.03148503760701609
353,0.04674055939892875
354,0.04674055939892875
355,0.2715011235112197
